"binomial","ID","Year","Lat","Long","Frequency","Duration","n","n_area","tau_p","tau_p_min","tau_p_max","tau_p_var","tau_v","tau_v_min","tau_v_max","tau_v_var","sigma","l_v"
"Acinonyx_jubatus","Elena",2012,-25.873065,20.0858233,0.0166666666666667,7.10407407407407,98121,123501.689643034,NA,NA,NA,NA,NA,NA,NA,NA,15199530.7899504,NA
"Aepyceros_melampus","1756",2011,0.361633349993634,36.8748966997971,20,374.041666666667,25206,168.38632615144,186152.398518923,158886.61941308,218097.128646538,209141006.249374,487.466231755314,473.171752497086,502.192546042125,53.9768101209989,371258.225173055,31.1799914675525
"Aepyceros_melampus","1757",2011,0.443538100009628,36.8596312497475,20,345.750694444444,23318,381.716108367973,76292.8086540386,68695.9954475713,84729.722808428,15817439.8748094,436.555400694632,421.899873206288,451.720016949298,56.8604326786633,144450.722976982,28.7499928414788
"Aepyceros_melampus","1758",2012,0.395385600019686,36.8650545002839,20,463.430555555556,30975,629.712448170748,62049.4327958662,57183.3853206933,67329.5589041569,6416387.61092369,546.409035809389,532.716179952506,560.453850755509,49.4221712101303,141573.39906073,35.308629267159
"Aepyceros_melampus","1759",2011,0.410704799958227,36.8699775002921,20,117.013888888889,7741,60.7243104467583,158622.20030948,120932.214796012,208058.72507555,422071234.619489,464.255866071929,439.153611331623,490.792979086852,168.580807328545,328672.25738769,31.0154608685358
"Aepyceros_melampus","1760",2011,0.513564799983373,36.8599748999049,20,46.1111111111111,3193,23.273577554831,150676.442043492,95331.0810510352,238153.07595989,994638591.347936,501.80230370853,462.300337199253,544.679576771882,422.906310258944,260145.309817195,29.4341600663401
"Aepyceros_melampus","1761",2011,0.38103840004354,36.9184825998501,20,85.4590277777778,5673,41.7361866779887,161912.07239811,116150.900726897,225702.246165879,640627547.97006,427.660482058175,398.497169860461,458.9580597982,229.224938371207,307744.165702646,28.5105016489214
"Aepyceros_melampus","1762",2011,0.352799800003365,36.9198552004039,20,275.916666666667,18505,192.27509847335,120373.149888558,103772.657587695,139629.219786036,77149883.3479235,469.836675996053,453.296449696268,486.980434677863,72.4855482342108,191766.259342817,27.3586550377264
"Aepyceros_melampus","1763",2011,0.455571100013272,36.8340790002928,20,307.833333333333,20217,290.135064281635,89658.9879718687,79472.7377016492,101150.839352208,28657336.667228,489.631486860343,473.350366132299,506.472604814813,70.1625462118492,192778.467387514,32.4464371081709
"Aepyceros_melampus","1764",2011,0.489063750010665,36.8774234499615,20,349.25,23358,315.427356059193,93768.8140202437,83548.590454551,105239.243833157,28775708.3637775,477.946708640521,463.056154795003,493.316099861442,58.6267323034839,211206.74643296,32.8106186579246
"Aepyceros_melampus","1765",2011,0.374288299970103,36.923486500365,20,155.694444444444,10361,148.079339655132,88188.0850381475,74349.0708358746,104603.033437547,54202179.1435461,414.229811754069,392.60926613559,437.040976222282,124.937734329344,156200.172524548,27.0867234835131
"Aepyceros_melampus","1766",2011,0.423793000004569,36.8511775998592,20,120.81875,8103,91.8561592099226,109866.398365154,88283.532811736,136725.673580274,134938100.812533,505.293091510558,479.595900037339,532.367162247256,176.372414585377,218851.665176699,31.7259155652227
"Aepyceros_melampus","1767",2011,0.482138499999799,36.8339121997616,20,288.944444444444,18881,130.304881078594,187402.126045088,156377.762403043,224581.528131238,273767051.263925,452.815262532938,436.420932707676,469.825452025498,71.248805355787,321673.762808372,27.8792503143368
"Aepyceros_melampus","1768",2011,0.384485250025669,36.8523231999439,20,380.347222222222,25516,147.32056573612,216914.16967418,183078.791025707,257002.773187596,323826996.892618,514.831116825176,500.431459662833,529.645116695974,54.7364847769406,506207.893931627,34.6619418540824
"Aepyceros_melampus","1769",2011,0.341225200008107,36.9081594995788,20,59.8340277777778,4093,32.5388000752058,142635.570900898,97462.1396897169,208746.76208624,638929217.470387,379.512203342472,345.717334848729,416.610617887814,311.2473623445,238687.33531553,25.2007599993517
"Aepyceros_melampus","1770",2012,0.398787449991306,36.9142698997617,20,426.416666666667,28264,371.341881763592,97535.6719787283,87721.7908389325,108447.481718761,26411994.331738,458.210705104707,444.795408574683,472.03061503118,47.5401844537604,210568.045843191,31.451916123688
"Aepyceros_melampus","1771",2011,0.494409700007879,36.8472002001731,20,325.152777777778,21241,123.162387750891,222163.556192636,184423.671828422,267626.412655296,406136393.090054,508.079481037107,492.201348092187,524.469833436105,66.6644080603481,510093.187682052,34.1549914178693
"Aepyceros_melampus","1772",2011,0.321336250019004,36.9024637999638,20,71.1805555555556,4716,70.9758017042437,81708.9543119198,63504.5317072858,105131.917916047,97557964.666596,508.316892573385,474.791802136577,544.20919256128,302.563690910202,137432.410955469,29.2399770672632
"Aepyceros_melampus","1773",2011,0.398255599961099,36.8820029000063,20,295.541666666667,19623,234.023345849015,105015.344064632,91805.5777467934,120125.843763325,48520913.6090072,539.217705092098,522.338328855737,556.642538796136,75.3389309021694,201901.986240759,32.1977843845264
"Aepyceros_melampus","1774",2011,0.480354200019918,36.8405549002069,20,325.097222222222,21507,227.806164740962,120297.01972423,105013.136407819,137805.358925117,64999814.9240849,459.470621171208,444.147125397429,475.322792037771,62.154736214451,252541.787899837,31.0576123616385
"Aepyceros_melampus","1775",2011,0.325518400017753,36.8826350996452,20,340.583333333333,21771,103.160534660071,276089.078837224,225084.526228329,338651.353473597,748330579.107841,596.019259695875,579.143116248758,613.387171429029,75.196026661501,777249.594175685,40.9624368599318
